"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","deve retornar erro ao registrar mensagem via requisição","controller: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registra","",""
"","","não deve permitir registrar mensagem com o campo usuario com menos de 7 caracteres","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","4","deve permitir listar todas as mensagens","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
"","2","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir buscar uma mensagem","contexto: buscar","",""
"","","deve permitir listar uma mensagem por ID","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","","deve retornar erro ao registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registra","",""
"","2","deve lançar o erro quando a mensagem por ID não existir","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
"","1","não deve permitir registrar mensagem com o campo conteúdo vazio","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","9","deve permitir listar uma mensagem por ID","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
"","","deve permitir listar todas as mensagens mesmo que não existam","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","1","não deve permitir registrar mensagem com o campo usuario com menos de 7 caracteres","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registra","",""
"","1","não deve permitir registrar mensagem com o campo usuario com mais de 10 caracteres","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve permitir listar todas as mensagens","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","14","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registra","",""
"","3","não deve permitir registrar mensagem sem o campo usuario","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","não deve permitir registrar mensagem com o campo usuario com mais de 10 caracteres","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","19","deve permitir registrar uma mensagem","model: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: registrar","",""
"","15","deve permitir buscar uma mensagem por id","model: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: buscar","",""
"","10","deve permitir registrar mensagem via requisição","gerir mensagens","Tue Nov 11 22:27:14 UTC 2025","passed","Tue Nov 11 22:27:14 UTC 2025","","","",""
"","","não deve permitir registrar mensagem com o campo conteúdo vazio","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","4","deve permitir listar todas as mensagens","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: listar, ","",""
"","12","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","45","deve permitir registrar mensagem","gerir mensagens","Tue Nov 11 22:27:14 UTC 2025","passed","Tue Nov 11 22:27:14 UTC 2025","","","",""
"","","deve permitir remover uma mensagem existente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: remover","",""
"","2","deve permitir listar todas as mensagems mesm que não exista","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: listar, ","",""
"","","deve lançar erro ao registrar mensagem","service: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registrar","",""
"","","deve permitir registrar uma mensagem valida.","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","10","deve permitir alterar mensagem via requisição por id","controller: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: buscar","",""
"","","deve permitir registrar mensagem","service: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: registrar","",""
"","","não deve permitir registrar mensagem com o campo usuario vazio","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","deve permitir buscar uma mensagem por id.","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
"","4","deve permitir remover uma mensagem existente","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: remover","",""
"","6","deve permitir buscar uma mensagem por id.","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir buscar uma mensagem","contexto: buscar","",""
"","45","deve permitir registrar mensagem via requisição","controller: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: registrar","",""
"","1","deve permitir listar todas as mensagens mesmo que não existam","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
"","","deve permitir listar todas as mensagems mesm que não exista","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: listar, ","",""
"","","deve lançar o erro quando a mensagem por ID não existir","context: listar","Tue Nov 11 21:37:47 UTC 2025","skipped","","","","",""
"","1","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","","deve retornar null ao buscar uma mensagem com ID inexistente","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir buscar uma mensagem","contexto: buscar","",""
"","12","deve permitir registrar mensagem","service: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registrar","",""
"","2","não deve permitir registrar mensagem com o campo usuario vazio","modelo: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","deve permitir registrar","contexto: registrar","",""
"","8","deve lançar erro ao registrar mensagem","service: mensagem","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","contexto: registrar","",""
"","","deve permitir listar todas as mensagens","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","","contexto: listar, ","",""
"","","não deve permitir registrar mensagem sem o campo usuario","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","","não deve permitir registrar mensagem sem o campo conteúdo","modelo: mensagem","Tue Nov 11 21:37:47 UTC 2025","skipped","","deve permitir registrar","contexto: registrar","",""
"","8","deve permitir remover uma mensagem existente","model: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: remover","",""
"","16","deve permitir buscar mensagem via requisição por id","controller: mensagem","Tue Nov 11 22:27:12 UTC 2025","passed","Tue Nov 11 22:27:12 UTC 2025","","contexto: buscar","",""
"","2","deve gerar exceção quando houver erro ao obter mensagens","context: listar","Tue Nov 11 22:27:10 UTC 2025","passed","Tue Nov 11 22:27:10 UTC 2025","","","",""
